,english,arabic
0,"Having regard to the Treaty establishing the European Economic Community, and in particular Article 75 (1) thereof;",التوجيه الأول للمجلس بشأن وضع بعض القواعد المشتركة للنقل الدولي (نقل البضائع برّاً مقابل أجر أو مكافأة)
1,"Whereas the progressive establishment of the common market must not be impeded by obstacles in the transport sector ; whereas it is necessary to ensure a progressive expansion of the international carriage of goods by road, bearing in mind developments in trade and movement of goods within the Community;",مع الأخذ في الاعتبار الرأي الصادر عن البرلمان الأوروبي؛
2,"1. Each Member State shall, by the end of 1962 at the latest and in the manner laid down in paragraphs 2 and 3 of this Article, liberalise the types of international carriage of goods by road for hire or reward involving other Member States listed in Annexes I and II to this Directive, where such carriage is performed to or from the territory of that Member State or passing in transit across the territory of that Member State.",اعتمد هذا التوجيه:
3,4. The two Annexes to this Directive shall form an integral part thereof.,2. يجب إعفاء أنواع النقل المدرجة في الملحق I من أي نظام حصص وتراخيص.
4,Article 3,المادة 2
5,This Directive is addressed to the Member States.,لا يجب أن يؤثر هذا التوجيه على الشروط التي تسمح بموجبها أي دولة عضو لمواطنيها بممارسة الأنشطة المذكورة في هذا التوجيه.
6,Having regard to the Treaty establishing the European Economic Community;,النظام (الجماعة الاقتصادية الأوروبية) رقم 1397/68 الخاص بالمفوضية الأوروبية والمؤرخ في 6 سبتمبر/أيلول 1968 الذي يعدل النظام رقم 474/67/EEC الخاص بالتحديد المسبق لدفوعات تصدير الأرز والأرز الكسر.
7,"Whereas, while export licences for rice and broken rice are valid until the end of the fifth month following that of issue, a truly representative market seldom exists for such products other than on the shortest term or terms ; whereas it should therefore be possible to fix a corrective amount lower than the difference referred to above;",مع الأخذ في الاعتبار نظام المجلس رقم 359/67/EEC 1 المؤرخ في 28 يوليو/تموز 1967 الخاص بالتنظيم المشترك لسوق الأرز، وبخاصة المادة 17 (6) منه؛
8,HAS ADOPTED THIS REGULATION:,حيث أنه من الضروري بالتالي تعديل النظام رقم 474/67/EEC؛
9,"""Where the export refund on rice and broken rice referred to in the first subparagraph of Article 17 (4) of Regulation No 359/67/EEC is fixed in advance, the refund shall be that which is applicable to an export on the day on which the licence is applied for; - reduced by not more than the difference between the c.i.f. forward delivery price and the c.i.f. price when the former exceeds the latter by more than 0 7025 units of account per 100 kilogrammes;",المادة 1
